,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
333,50,1000,500,30,1,50,36.720000000000006,32.42,0.1436886972598431
334,10,300,500,30,1,75,36.04,27.815,0.1426430100793829
335,10,500,500,30,1,75,38.980000000000004,29.925,0.1588577473340323
336,10,1000,500,30,1,75,37.96,29.270000000000003,0.15820506371323792
337,30,300,500,30,1,75,36.4,33.050000000000004,0.1437046981889847
338,30,500,500,30,1,75,39.26,33.715,0.1520575926390419
339,30,1000,500,30,1,75,39.46,33.845000000000006,0.16342720749033124
340,50,300,500,30,1,75,33.68,33.47,0.1358622925901476
341,50,500,500,30,1,75,39.72,35.105,0.14544519394382452
342,50,1000,500,30,1,75,39.519999999999996,34.865,0.1452840715736945
343,10,300,500,30,1,100,38.46,29.865,0.15731064765661468
344,10,500,500,30,1,100,39.6,29.835,0.16198127468457368
345,10,1000,500,30,1,100,38.96,30.005000000000003,0.1600743120578793
346,30,300,500,30,1,100,39.72,33.645,0.15329446521067305
347,30,500,500,30,1,100,40.540000000000006,33.650000000000006,0.15211954145293977
348,30,1000,500,30,1,100,40.62,33.085,0.15720881852693389
349,50,300,500,30,1,100,35.54,32.71,0.14156124537262044
350,50,500,500,30,1,100,38.66,34.07,0.14829227242872275
351,50,1000,500,30,1,100,40.0,35.295,0.155008902837133
352,10,300,500,40,1,50,32.18,23.189999999999998,0.12611234116336925
353,10,500,500,40,1,50,33.52,23.18,0.12923191085110516
354,10,1000,500,40,1,50,33.92,22.854999999999997,0.1290437385884199
355,30,300,500,40,1,50,32.22,27.275,0.11852020847426173
356,30,500,500,40,1,50,34.68,27.240000000000002,0.12367786881352957
357,30,1000,500,40,1,50,34.88,27.465,0.12623288804501095
358,50,300,500,40,1,50,28.359999999999996,27.294999999999998,0.10560777162637884
359,50,500,500,40,1,50,33.160000000000004,28.79,0.12648365533192105
360,50,1000,500,40,1,50,33.26,28.67,0.12190459828240564
361,10,300,500,40,1,75,35.099999999999994,27.134999999999998,0.1340164023460662
362,10,500,500,40,1,75,36.18,27.67,0.1430547917329061
363,10,1000,500,40,1,75,35.8,26.945000000000004,0.1389524056886979
364,30,300,500,40,1,75,33.4,30.255,0.1308986671417279
365,30,500,500,40,1,75,37.580000000000005,31.175000000000004,0.13261351410542757
366,30,1000,500,40,1,75,36.720000000000006,30.995,0.13441109153806874
367,50,300,500,40,1,75,31.66,30.385,0.11892570368435039
368,50,500,500,40,1,75,35.88,32.855000000000004,0.12811044237576083
369,50,1000,500,40,1,75,36.120000000000005,33.92,0.12771556708123713
370,10,300,500,40,1,100,37.36000000000001,29.885,0.13815903471114824
371,10,500,500,40,1,100,38.76,30.8,0.14306788114046848
372,10,1000,500,40,1,100,38.38,30.104999999999997,0.14463441101389019
373,30,300,500,40,1,100,36.94,31.989999999999995,0.12376508277073382
