,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
410,30,500,500,10,94.39999999999999,94.715,0.00200462372006831
411,30,1000,500,10,93.6,96.145,0.0015631216434249316
412,50,300,500,10,91.60000000000001,84.94,0.003506488582043126
413,50,500,500,10,86.62,87.50500000000001,0.010015529604701087
414,50,1000,500,10,86.8,89.55,0.009878377823374328
415,10,300,500,20,95.61999999999999,71.83,0.003996055010902588
416,10,500,500,20,94.76,71.06,0.0039651899502822765
417,10,1000,500,20,94.14,72.015,0.003766116634322488
418,30,300,500,20,90.92,71.34,0.0035565366416567042
419,30,500,500,20,92.34,88.73,0.0024904372170277723
420,30,1000,500,20,92.14,94.435,0.0019084015558420465
421,50,300,500,20,91.12,85.16,0.003526849213747265
422,50,500,500,20,87.08,88.97500000000001,0.008687537670872313
423,50,1000,500,20,86.88,89.42,0.007535348665600096
424,10,300,500,30,95.82000000000001,68.64,0.004085906334773234
425,10,500,500,30,94.56,70.685,0.004030852664958108
426,10,1000,500,30,93.78,71.07,0.003668775407635295
427,30,300,500,30,87.14,67.135,0.004011171473647618
428,30,500,500,30,92.02,91.095,0.0023388363098253116
429,30,1000,500,30,92.46000000000001,93.37500000000001,0.001969032425164382
430,50,300,500,30,90.94,84.20500000000001,0.0033709896408846735
431,50,500,500,30,87.88,90.79499999999999,0.008267242890728953
432,50,1000,500,30,87.38,90.06500000000001,0.007951318578800768
433,10,300,500,40,95.39999999999999,72.355,0.0038920411021498603
434,10,500,500,40,94.88,73.885,0.0036264429447554775
435,10,1000,500,40,94.65999999999998,76.83500000000001,0.003617370181629154
