,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
284,50,1000,500,30,2,75,37.92,33.165,0.14588557343607297
285,10,300,500,30,2,100,37.78,28.294999999999998,0.15267755050738757
286,10,1000,500,30,2,100,39.28,29.575000000000003,0.1562872986599273
287,50,300,500,30,2,100,35.160000000000004,31.605,0.1349029781380182
288,50,1000,500,30,2,100,39.980000000000004,33.879999999999995,0.15096738354265105
289,10,300,500,30,4,75,32.06,21.685,0.1476790171685215
290,10,1000,500,30,4,75,34.760000000000005,23.759999999999998,0.161478508575633
291,50,300,500,30,4,75,30.379999999999995,27.599999999999998,0.13546007254100884
292,50,1000,500,30,4,75,33.34,29.134999999999998,0.13807037992761206
293,10,300,500,30,4,100,35.28,25.35,0.15021806863782913
294,10,1000,500,30,4,100,36.34,25.305,0.15537215271602478
295,50,300,500,30,4,100,32.18,28.235,0.13772770260294465
296,50,1000,500,30,4,100,36.78,29.815,0.1417142385532849
297,10,300,500,30,5,75,33.04,22.385,0.0827267108476097
298,10,1000,500,30,5,75,35.58,24.044999999999998,0.15262400204292945
299,50,300,500,30,5,75,29.68,26.505000000000003,0.1323732523775637
300,50,1000,500,30,5,75,34.18,28.88,0.14111793542159182
301,10,300,500,30,5,100,33.76,22.485,0.14849866257223385
302,10,1000,500,30,5,100,35.8,24.430000000000003,0.15384137944014872
303,50,300,500,30,5,100,31.06,26.884999999999998,0.13384104555571988
304,50,1000,500,30,5,100,35.38,27.595000000000002,0.1421528831202509
305,10,300,500,30,8,75,30.579999999999995,20.28,0.14621653373035923
306,10,1000,500,30,8,75,32.56,23.145,0.15330299697318248
307,50,300,500,30,8,75,25.86,24.07,0.13584054220968922
308,50,1000,500,30,8,75,30.959999999999997,27.355,0.13828156895305396
309,10,300,500,30,8,100,32.92,22.480000000000004,0.1496708781671649
310,10,1000,500,30,8,100,34.599999999999994,23.555,0.1501406063956634
311,50,300,500,30,8,100,28.18,25.585,0.12976321065967727
312,50,1000,500,30,8,100,34.260000000000005,27.33,0.13293279556831433
313,10,300,500,30,10,75,31.680000000000003,20.995,0.14717261422677838
314,10,1000,500,30,10,75,33.08,22.82,0.1494794585238008
315,50,300,500,30,10,75,27.1,24.79,0.12997530934031196
316,50,1000,500,30,10,75,32.080000000000005,26.974999999999998,0.13741234331052127
317,10,300,500,30,10,100,31.540000000000003,20.424999999999997,0.1447250977879021
318,10,1000,500,30,10,100,33.48,23.025000000000002,0.15497904958368403
319,50,300,500,30,10,100,28.599999999999998,25.16,0.13304015319510282
320,50,1000,500,30,10,100,34.06,27.265,0.13652946721970258
321,10,300,500,50,2,75,31.240000000000002,21.680000000000003,0.11618474255912499
322,10,1000,500,50,2,75,32.7,23.279999999999998,0.11592075581399658
323,50,300,500,50,2,75,28.92,26.669999999999998,0.09914089994554516
324,50,1000,500,50,2,75,33.22,28.189999999999998,0.10761144915478432
325,10,300,500,50,2,100,33.78,23.020000000000003,0.1168004920308944
326,10,1000,500,50,2,100,35.56,25.179999999999996,0.12019084715961573
327,50,300,500,50,2,100,31.04,28.664999999999996,0.10188514648155068
328,50,1000,500,50,2,100,35.339999999999996,30.285,0.10891317896809395
